model,seed,scenario,TE_L_med,B1_L_med,improvement_pct
TE3_TeXCP,0,S1_Nominal,382.0782731323685,383.5819168286238,0.392000673203545
TE3_TeXCP,0,S2_FlashCrowd,482.0684603643025,490.4600157046706,1.7109560558798014
TE3_TeXCP,0,S3_PoP_Failure,412.7364068640609,414.64834509710386,0.4610987251366528
TE3_TeXCP,0,S4_BGP_Anomaly,391.36616268787765,396.45589467229127,1.2838078718997905
TE3_TeXCP,0,S5_WACREN_OOD,766.8040989540746,770.2779459192627,0.4509861646165153
TE3_TeXCP,1,S1_Nominal,389.84187094126514,388.972760108806,-0.2234374541332922
TE3_TeXCP,1,S2_FlashCrowd,460.92212839316,467.0890150334966,1.3202808119763532
TE3_TeXCP,1,S3_PoP_Failure,413.5591584172346,415.4729224223305,0.46062303986938574
TE3_TeXCP,1,S4_BGP_Anomaly,396.4032620392618,401.21585842594106,1.1995030319988247
TE3_TeXCP,1,S5_WACREN_OOD,788.5181596232562,786.3565361505971,-0.27489101613382566
TE3_TeXCP,2,S1_Nominal,369.6481354007944,373.04274601291206,0.9099789899145169
TE3_TeXCP,2,S2_FlashCrowd,426.73440864438857,422.8162904907683,-0.9266715218262833
TE3_TeXCP,2,S3_PoP_Failure,399.78968601923896,401.26736782124254,0.36825366837750645
TE3_TeXCP,2,S4_BGP_Anomaly,378.03450837059927,380.03927037317726,0.5275144330767256
TE3_TeXCP,2,S5_WACREN_OOD,739.6226745858804,748.458777065698,1.1805730322863115
TE3_TeXCP,3,S1_Nominal,408.42961606607275,406.7818633562169,-0.40507034808799636
TE3_TeXCP,3,S2_FlashCrowd,443.1471557807873,441.3355707904563,-0.4104779016761152
TE3_TeXCP,3,S3_PoP_Failure,438.35633715603245,437.2939788237959,-0.24293916305319743
TE3_TeXCP,3,S4_BGP_Anomaly,416.7410559496999,424.9549946234314,1.932896136686232
TE3_TeXCP,3,S5_WACREN_OOD,832.9678410884663,827.9421597822505,-0.6070087441298508
TE3_TeXCP,4,S1_Nominal,402.19641970828087,399.8197580947427,-0.594433257841891
TE3_TeXCP,4,S2_FlashCrowd,435.08895427982236,440.66090538990943,1.2644532432839368
TE3_TeXCP,4,S3_PoP_Failure,431.11184919912614,432.5452272303818,0.3313822326589211
TE3_TeXCP,4,S4_BGP_Anomaly,405.31030075428623,405.2708069071585,-0.00974505107563586
TE3_TeXCP,4,S5_WACREN_OOD,814.7711597587071,811.6918188265332,-0.3793731636504211
TE3_TeXCP,5,S1_Nominal,416.76833415131887,419.841393947149,0.7319573153420393
TE3_TeXCP,5,S2_FlashCrowd,466.45715557899877,473.753578549697,1.5401304182302544
TE3_TeXCP,5,S3_PoP_Failure,449.61965305973195,451.17283234492646,0.3442537258110202
TE3_TeXCP,5,S4_BGP_Anomaly,414.2007453135045,419.99912941394683,1.3805705046420444
TE3_TeXCP,5,S5_WACREN_OOD,855.2133022796315,863.0828220031351,0.9117919535507782
TE3_TeXCP,6,S1_Nominal,398.1379102971605,401.0492316471193,0.7259261756971719
TE3_TeXCP,6,S2_FlashCrowd,473.6444268662223,476.32762028096937,0.5633083828236389
TE3_TeXCP,6,S3_PoP_Failure,416.73388802479724,420.81573572489714,0.9699845689155394
TE3_TeXCP,6,S4_BGP_Anomaly,408.2191132263092,410.5334452724137,0.5637377594336518
TE3_TeXCP,6,S5_WACREN_OOD,812.4307771444032,819.8228930699654,0.9016722987426148
TE3_TeXCP,7,S1_Nominal,367.30443707153984,368.06186492182917,0.2057881901049973
TE3_TeXCP,7,S2_FlashCrowd,426.5624329134447,431.6642419179498,1.1818928947732654
TE3_TeXCP,7,S3_PoP_Failure,394.2012890711571,393.96109182710677,-0.060969788396190126
TE3_TeXCP,7,S4_BGP_Anomaly,375.0509390238427,376.3995886101059,0.3583026196291111
TE3_TeXCP,7,S5_WACREN_OOD,740.4294862188618,731.9219214551092,-1.1623596061775292
TE3_TeXCP,8,S1_Nominal,384.51489491459955,385.69604560072133,0.30623873373711696
TE3_TeXCP,8,S2_FlashCrowd,437.90623028409533,444.98043769727894,1.5897794181226932
TE3_TeXCP,8,S3_PoP_Failure,412.51389235393003,412.68681707991584,0.041902168624960455
TE3_TeXCP,8,S4_BGP_Anomaly,397.1757487679323,397.9654155409655,0.1984259792926484
TE3_TeXCP,8,S5_WACREN_OOD,772.2778811186229,775.3118047984692,0.39131658528467295
TE3_TeXCP,9,S1_Nominal,391.77706707647314,392.6884553025775,0.23208938633097828
TE3_TeXCP,9,S2_FlashCrowd,423.5774839771078,418.4855177487062,-1.216760440312128
TE3_TeXCP,9,S3_PoP_Failure,420.9716353631841,422.4161218047002,0.3419581703806188
TE3_TeXCP,9,S4_BGP_Anomaly,394.5966665153115,399.2180887924311,1.1576184563927605
TE3_TeXCP,9,S5_WACREN_OOD,792.8708083382987,798.6830119931625,0.7277234606955085
