baseline,scenario,gain_te_vs_bc_pct,sd,wilcoxon_p,p_holm,n_seeds,significant_holm_0.05
TE1_OSPF,S1_Nominal,2.1061730437613893,1.0213065816498037,0.001953125,0.029296875,10,True
TE1_OSPF,S2_FlashCrowd,0.664817969288858,1.0699505594678687,0.232421875,0.46484375,10,False
TE1_OSPF,S3_PoP_Failure,3.789518307111753,0.6603998931451062,0.001953125,0.029296875,10,True
TE1_OSPF,S4_BGP_Anomaly,1.5344144324064712,0.4801290083934722,0.001953125,0.029296875,10,True
TE1_OSPF,S5_WACREN_OOD,2.5717236740408245,1.386869547323747,0.001953125,0.029296875,10,True
TE2_MATE,S1_Nominal,2.310438902864598,1.1444061095503804,0.001953125,0.029296875,10,True
TE2_MATE,S2_FlashCrowd,0.9303191911543973,0.9838304706984694,0.009765625,0.0390625,10,True
TE2_MATE,S3_PoP_Failure,0.47694624243313727,0.7887143384502531,0.10546875,0.31640625,10,False
TE2_MATE,S4_BGP_Anomaly,1.8846457026056265,0.6975214306592538,0.001953125,0.029296875,10,True
TE2_MATE,S5_WACREN_OOD,2.8127305978336947,1.4563372795828295,0.001953125,0.029296875,10,True
TE3_TeXCP,S1_Nominal,-1.2389819203828543,1.0060877035131772,0.001953125,0.029296875,10,True
TE3_TeXCP,S2_FlashCrowd,-2.64395131103382,1.3111748520347288,0.001953125,0.029296875,10,True
TE3_TeXCP,S3_PoP_Failure,-0.009084068616143387,0.5941183607013609,0.76953125,0.76953125,10,False
TE3_TeXCP,S4_BGP_Anomaly,-1.2898292612147948,0.8602414738276352,0.00390625,0.029296875,10,True
TE3_TeXCP,S5_WACREN_OOD,-1.666749905613812,1.3712286477969824,0.001953125,0.029296875,10,True
